estado;data;feriado
Acre;01/01/2018;Ano Novo
Acre;20/01/2018;Dia do Católico
Acre;26/01/2018;Dia do Evangélico
Acre;12/02/2018;Carnaval
Acre;13/02/2018;Carnaval
Acre;14/02/2018;Carnaval
Acre;09/03/2018;Dia da Mulher
Acre;30/03/2018;Sexta Feira Santa
Acre;21/04/2018;Dia de Tiradentes
Acre;01/05/2018;Dia do Trabalho
Acre;31/05/2018;Corpus Christi
Acre;15/06/2018;Aniversário do Acre
Acre;06/08/2018;Revolução Acreana
Acre;07/09/2018;Independência do Brasil
Acre;07/09/2018;Dia da Amazônia
Acre;12/10/2018;Nossa Senhora Aparecida
Acre;15/10/2018;Dia do Professor
Acre;28/10/2018;Dia do Servidor Público
Acre;02/11/2018;Dia de Finados
Acre;15/11/2018;Proclamação da República
Acre;17/11/2018;Tratado de Petrópolis
Acre;25/12/2018;Natal
Acre;01/01/2019;Ano Novo
Acre;20/01/2019;Dia do Católico
Acre;25/01/2019;Dia do Evangélico
Acre;04/03/2019;Carnaval
Acre;05/03/2019;Carnaval
Acre;06/03/2019;Carnaval
Acre;08/03/2019;Dia da Mulher
Acre;19/04/2019;Sexta Feira Santa
Acre;21/04/2019;Dia de Tiradentes
Acre;01/05/2019;Dia do Trabalho
Acre;15/06/2019;Aniversário do Acre
Acre;20/06/2019;Corpus Christi
Acre;06/08/2019;Revolução Acreana
Acre;06/09/2019;Dia da Amazônia
Acre;07/09/2019;Independência do Brasil
Acre;12/10/2019;Nossa Senhora Aparecida
Acre;15/10/2019;Dia do Professor
Acre;28/10/2019;Dia do Servidor Público
Acre;02/11/2019;Dia de Finados
Acre;15/11/2019;Proclamação da República
Acre;17/11/2019;Tratado de Petrópolis
Acre;25/12/2019;Natal
Acre;01/01/2020;Ano Novo
Acre;24/01/2020;Dia do Evangélico
Acre;24/02/2020;Carnaval
Acre;25/02/2020;Carnaval
Acre;26/02/2020;Carnaval
Acre;08/03/2020;Dia da Mulher
Acre;10/04/2020;Sexta Feira Santa
Acre;21/04/2020;Dia de Tiradentes
Acre;01/05/2020;Dia do Trabalho
Acre;11/06/2020;Corpus Christi
Acre;15/06/2020;Aniversário do Acre
Acre;06/08/2020;Revolução Acreana
Acre;05/09/2020;Dia da Amazônia
Acre;07/09/2020;Independência do Brasil
Acre;12/10/2020;Nossa Senhora Aparecida
Acre;15/10/2020;Dia do Professor
Acre;28/10/2020;Dia do Servidor Público
Acre;02/11/2020;Dia de Finados
Acre;15/11/2020;Proclamação da República
Acre;20/11/2020;Tratado de Petrópolis
Acre;25/12/2020;Natal
Amapa;01/01/2018;Ano Novo
Amapa;12/02/2018;Carnaval
Amapa;13/02/2018;Carnaval
Amapa;14/02/2018;Carnaval
Amapa;19/03/2018;Dia de São José
Amapa;30/03/2018;Sexta Feira Santa
Amapa;21/04/2018;Dia de Tiradentes
Amapa;01/05/2018;Dia do Trabalho
Amapa;15/05/2018;Dia de Cabralzinho
Amapa;31/05/2018;Corpus Christi
Amapa;07/09/2018;Independência do Brasil
Amapa;13/09/2018;Aniversário da criação do ex território federal do Amapá
Amapa;12/10/2018;Nossa Senhora Aparecida
Amapa;15/10/2018;Dia do Professor
Amapa;28/10/2018;Dia do Servidor Público
Amapa;02/11/2018;Dia de Finados
Amapa;15/11/2018;Proclamação da República
Amapa;20/11/2018;Dia da Consciência Negra
Amapa;25/12/2018;Natal
Amapa;01/01/2019;Ano Novo
Amapa;04/03/2019;Carnaval
Amapa;05/03/2019;Carnaval
Amapa;06/03/2019;Carnaval
Amapa;19/03/2019;Dia de São José
Amapa;19/04/2019;Sexta Feira Santa
Amapa;21/04/2019;Dia de Tiradentes
Amapa;01/05/2019;Dia do Trabalho
Amapa;15/05/2019;Dia de Cabralzinho
Amapa;20/06/2019;Corpus Christi
Amapa;07/09/2019;Independência do Brasil
Amapa;13/09/2019;Aniversário da criação do ex território federal do Amapá
Amapa;12/10/2019;Nossa Senhora Aparecida
Amapa;15/10/2019;Dia do Professor
Amapa;28/10/2019;Dia do Servidor Público
Amapa;02/11/2019;Dia de Finados
Amapa;15/11/2019;Proclamação da República
Amapa;20/11/2019;Dia da Consciência Negra
Amapa;25/12/2019;Natal
Amapa;01/01/2020;Ano Novo
Amapa;24/02/2020;Carnaval
Amapa;25/02/2020;Carnaval
Amapa;26/02/2020;Carnaval
Amapa;19/03/2020;Dia de São José
Amapa;10/04/2020;Sexta Feira Santa
Amapa;21/04/2020;Dia de Tiradentes
Amapa;01/05/2020;Dia do Trabalho
Amapa;15/05/2020;Dia de Cabralzinho
Amapa;11/06/2020;Corpus Christi
Amapa;07/09/2020;Independência do Brasil
Amapa;13/09/2020;Aniversário da criação do ex território federal do Amapá
Amapa;12/10/2020;Nossa Senhora Aparecida
Amapa;15/10/2020;Dia do Professor
Amapa;28/10/2020;Dia do Servidor Público
Amapa;02/11/2020;Dia de Finados
Amapa;15/11/2020;Proclamação da República
Amapa;20/11/2020;Dia da Consciência Negra
Amapa;25/12/2020;Natal
Alagoas;01/01/2018;Ano Novo
Alagoas;12/02/2018;Carnaval
Alagoas;13/02/2018;Carnaval
Alagoas;14/02/2018;Carnaval
Alagoas;30/03/2018;Sexta Feira Santa
Alagoas;21/04/2018;Dia de Tiradentes
Alagoas;01/05/2018;Dia do Trabalho
Alagoas;31/05/2018;Corpus Christi
Alagoas;24/06/2018;Dia de São João
Alagoas;29/06/2018;Dia de São Pedro
Alagoas;07/09/2018;Independência do Brasil
Alagoas;16/09/2018;Emancipação de Alagoas
Alagoas;12/10/2018;Nossa Senhora Aparecida
Alagoas;15/10/2018;Dia do Professor
Alagoas;28/10/2018;Dia do Servidor Público
Alagoas;02/11/2018;Dia de Finados
Alagoas;15/11/2018;Proclamação da República
Alagoas;20/11/2018;Dia da Consciência Negra
Alagoas;30/11/2018;Dia do Evangélico
Alagoas;25/12/2018;Natal
Alagoas;01/01/2019;Ano Novo
