"","state","date","last_available_deaths","last_available_confirmed","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","num","regiao","half_cum_cases","half_cum_deaths","doubl_dates","dist_date","mobility","activity","smth_mobility","smth_date","smth_activ"
"1","AC",2020-02-15,0,0,1.02,1.05,0.98,1.05,1.05,1.01,12,"Norte",0,0,NA,NA,1.0425,100,NA,NA,NA
"2","AC",2020-02-16,0,0,0.99,1.03,1,0.88,0.99,1.02,12,"Norte",0,0,NA,NA,1,100,NA,NA,NA
"3","AC",2020-02-17,0,0,0.95,1.02,1,1.13,1.2,0.98,12,"Norte",0,0,NA,NA,1.0925,100,NA,NA,NA
"4","AC",2020-02-18,0,0,0.99,1.01,0.98,1.02,1.19,0.98,12,"Norte",0,0,NA,NA,1.095,100,1.0725,NA,100
"5","AC",2020-02-19,0,0,0.98,0.96,1,0.99,1.19,0.98,12,"Norte",0,0,NA,NA,1.08,100,1.07321428571429,NA,100
"6","AC",2020-02-20,0,0,0.98,1.02,1,1.03,1.2,0.99,12,"Norte",0,0,NA,NA,1.1,100,1.07714285714286,NA,100
"7","AC",2020-02-21,0,0,0.94,1.07,1,1.12,1.19,0.99,12,"Norte",0,0,NA,NA,1.0975,100,1.03892857142857,NA,100
"8","AC",2020-02-22,0,0,1.05,1.12,1.16,0.98,1.01,0.99,12,"Norte",0,0,NA,NA,1.0475,100,0.9775,NA,100
"9","AC",2020-02-23,0,0,1.06,1.09,1.33,0.71,0.98,0.99,12,"Norte",0,0,NA,NA,1.0275,100,0.940714285714286,NA,100
"10","AC",2020-02-24,0,0,0.98,1,1.47,0.73,0.66,1.04,12,"Norte",0,0,NA,NA,0.825,100,0.934285714285714,NA,100
"11","AC",2020-02-25,0,0,0.8,0.9,1.71,0.64,0.48,1.06,12,"Norte",0,0,NA,NA,0.665,100,0.933214285714286,NA,100
"12","AC",2020-02-26,0,0,0.86,0.91,1.01,0.82,0.76,1.05,12,"Norte",0,0,NA,NA,0.8225,100,0.936785714285714,NA,100
"13","AC",2020-02-27,0,0,0.9,0.98,0.87,0.93,1.17,1.01,12,"Norte",0,0,NA,NA,1.055,100,0.933214285714286,NA,100
"14","AC",2020-02-28,0,0,0.92,1.02,0.82,0.9,1.21,1,12,"Norte",0,0,NA,NA,1.09,100,0.9825,NA,100
"15","AC",2020-02-29,0,0,1.01,1.1,0.88,0.98,1.09,1.02,12,"Norte",0,0,NA,NA,1.0725,100,1.05035714285714,NA,100
"16","AC",2020-03-01,0,0,0.93,1.08,0.84,1.01,1,1.04,12,"Norte",0,0,NA,NA,1.0025,100,1.09642857142857,NA,100
"17","AC",2020-03-02,0,0,1.04,1.1,1.05,1.07,1.27,0.96,12,"Norte",0,0,NA,NA,1.17,100,1.10821428571429,NA,100
"18","AC",2020-03-03,0,0,1.02,1.08,0.96,1.01,1.23,0.98,12,"Norte",0,0,NA,NA,1.14,100,1.11714285714286,NA,100
"19","AC",2020-03-04,0,0,1.03,1.05,1.05,1.02,1.25,0.97,12,"Norte",0,0,NA,NA,1.145,100,1.12392857142857,NA,100
"20","AC",2020-03-05,0,0,1.01,1.04,0.99,1.09,1.25,0.98,12,"Norte",0,0,NA,NA,1.1375,100,1.13821428571429,NA,100
"21","AC",2020-03-06,0,0,1.01,1.06,0.9,1.14,1.27,0.98,12,"Norte",0,0,NA,NA,1.1525,100,1.13607142857143,NA,100
"22","AC",2020-03-07,0,0,1.13,1.15,1.04,1.15,1.1,1,12,"Norte",0,0,NA,NA,1.12,100,1.13964285714286,NA,100
"23","AC",2020-03-08,0,0,1.15,1.12,0.97,1.04,1.07,1.01,12,"Norte",0,0,NA,NA,1.1025,100,1.1375,NA,100
"24","AC",2020-03-09,0,0,1.02,1.06,1.02,1.09,1.27,0.97,12,"Norte",0,0,NA,NA,1.155,100,1.13714285714286,NA,100
"25","AC",2020-03-10,0,0,1.08,1.06,1.01,1.11,1.26,0.96,12,"Norte",0,0,NA,NA,1.165,100,1.12821428571429,NA,100
"26","AC",2020-03-11,0,0,1.02,1,1.02,1.03,1.25,0.97,12,"Norte",0,0,NA,NA,1.13,100,1.12178571428571,NA,100
"27","AC",2020-03-12,0,0,1.01,1.01,1.05,1.07,1.26,0.98,12,"Norte",0,0,NA,NA,1.135,100,1.10928571428571,NA,100
"28","AC",2020-03-13,0,0,0.88,0.98,0.81,1.05,1.25,0.99,12,"Norte",0,0,NA,NA,1.09,100,1.10285714285714,NA,100
"29","AC",2020-03-14,0,0,1,1.08,0.95,1.25,1.11,1,12,"Norte",0,0,NA,NA,1.075,100,1.09464285714286,NA,100
"30","AC",2020-03-15,0,0,0.94,1.06,0.89,1.06,1.03,1.02,12,"Norte",0,0,NA,NA,1.015,100,1.06464285714286,NA,100
"31","AC",2020-03-16,0,0,0.91,1.03,0.91,1.06,1.25,0.97,12,"Norte",0,0,NA,NA,1.11,100,1.02285714285714,NA,100
"32","AC",2020-03-17,0,0,0.89,1.2,0.89,0.94,1.17,0.99,12,"Norte",0,0,NA,NA,1.1075,100,0.975714285714286,NA,100
"33","AC",2020-03-18,0,0,0.74,1.04,0.78,0.85,0.95,1.06,12,"Norte",0,0,NA,NA,0.92,100,0.919642857142857,NA,100
"34","AC",2020-03-19,0,3,0.66,0.95,0.74,0.73,0.88,1.09,12,"Norte",1.5,0,2020-03-18,1,0.8425,100,0.86,NA,100
"35","AC",2020-03-20,0,7,0.52,0.88,0.52,0.72,0.82,1.12,12,"Norte",3.5,0,2020-03-19,1,0.76,100,0.783214285714286,NA,100
"36","AC",2020-03-21,0,9,0.33,0.9,0.45,0.59,0.75,1.12,12,"Norte",4.5,0,2020-03-19,2,0.6825,100,0.7025,NA,100
"37","AC",2020-03-22,0,11,0.23,0.74,0.35,0.48,0.71,1.13,12,"Norte",5.5,0,2020-03-20,2,0.5975,100,0.650357142857143,2,100
"38","AC",2020-03-23,0,11,0.32,0.79,0.52,0.36,0.59,1.17,12,"Norte",5.5,0,2020-03-20,3,0.5725,100,0.610714285714286,2.28571428571429,100
"39","AC",2020-03-24,0,17,0.33,0.78,0.52,0.3,0.53,1.17,12,"Norte",8.5,0,2020-03-21,3,0.5425,100,0.588928571428571,2.71428571428571,100
"40","AC",2020-03-25,0,23,0.35,0.77,0.52,0.33,0.55,1.17,12,"Norte",11.5,0,2020-03-23,2,0.555,100,0.584285714285714,2.57142857142857,100
"41","AC",2020-03-26,0,24,0.37,0.75,0.52,0.42,0.57,1.17,12,"Norte",12,0,2020-03-23,3,0.565,100,0.594642857142857,2.57142857142857,100
"42","AC",2020-03-27,0,25,0.38,0.83,0.49,0.41,0.61,1.17,12,"Norte",12.5,0,2020-03-23,4,0.6075,100,0.602857142857143,2.42857142857143,100
"43","AC",2020-03-28,0,50,0.36,0.82,0.46,0.3,0.71,1.13,12,"Norte",25,0,2020-03-27,1,0.65,100,0.624642857142857,2.42857142857143,100
"44","AC",2020-03-29,0,68,0.32,0.8,0.44,0.25,0.78,1.11,12,"Norte",34,0,2020-03-27,2,0.67,100,0.641071428571429,2.71428571428571,100
"45","AC",2020-03-30,0,84,0.44,0.78,0.57,0.27,0.65,1.15,12,"Norte",42,0,2020-03-28,2,0.63,100,0.658214285714286,3,100
"46","AC",2020-03-31,0,84,0.54,0.94,0.62,0.52,0.65,1.12,12,"Norte",42,0,2020-03-28,3,0.695,100,0.665714285714286,3.28571428571429,100
"47","AC",2020-04-01,0,86,0.49,0.89,0.61,0.36,0.65,1.13,12,"Norte",43,0,2020-03-28,4,0.67,100,0.677857142857143,4.14285714285714,100
"48","AC",2020-04-02,0,86,0.51,0.89,0.6,0.32,0.67,1.13,12,"Norte",43,0,2020-03-28,5,0.685,100,0.6775,5,100
"49","AC",2020-04-03,0,92,0.43,0.87,0.52,0.29,0.67,1.15,12,"Norte",46,0,2020-03-28,6,0.66,100,0.692142857142857,6,100
"50","AC",2020-04-04,0,92,0.45,0.95,0.48,0.3,0.77,1.1,12,"Norte",46,0,2020-03-28,7,0.735,100,0.698928571428571,7,100
"51","AC",2020-04-05,0,96,0.33,0.8,0.44,0.35,0.77,1.1,12,"Norte",48,0,2020-03-28,8,0.6675,100,0.71,8,100
"52","AC",2020-04-06,0,100,0.57,0.94,0.66,0.3,0.71,1.11,12,"Norte",50,0,2020-03-28,9,0.7325,100,0.713928571428571,8.85714285714286,100
"53","AC",2020-04-07,2,100,0.6,0.99,0.64,0.43,0.69,1.11,12,"Norte",50,1,2020-03-28,10,0.7425,100,0.680357142857143,9.71428571428571,100
"54","AC",2020-04-08,4,108,0.58,1.01,0.68,0.34,0.7,1.11,12,"Norte",54,2,2020-03-28,11,0.7475,100,0.676785714285714,10.5714285714286,100
"55","AC",2020-04-09,4,124,0.56,1.05,0.65,0.32,0.62,1.12,12,"Norte",62,2,2020-03-29,11,0.7125,100,0.680357142857143,11.1428571428571,100
"56","AC",2020-04-10,4,140,0.25,0.75,0.45,0.22,0.35,1.2,12,"Norte",70,2,2020-03-29,12,0.425,100,0.678214285714286,11.1428571428571,100
"57","AC",2020-04-11,4,144,0.45,0.93,0.54,0.28,0.73,1.1,12,"Norte",72,2,2020-03-29,13,0.71,100,0.6725,10.7142857142857,100
"58","AC",2020-04-12,4,154,0.35,0.82,0.48,0.33,0.8,1.08,12,"Norte",77,2,2020-03-31,12,0.6925,100,0.656785714285714,10.2857142857143,100
"59","AC",2020-04-13,6,180,0.54,0.87,0.67,0.3,0.73,1.12,12,"Norte",90,3,2020-04-04,9,0.7175,100,0.6575,9.85714285714286,100
"60","AC",2020-04-14,6,198,0.55,0.86,0.68,0.36,0.7,1.12,12,"Norte",99,3,2020-04-07,7,0.7025,100,0.698214285714286,9.14285714285714,100
"61","AC",2020-04-15,6,202,0.46,0.79,0.54,0.3,0.65,1.16,12,"Norte",101,3,2020-04-07,8,0.6375,100,0.702857142857143,8.42857142857143,100
"62","AC",2020-04-16,10,220,0.55,0.9,0.61,0.33,0.71,1.14,12,"Norte",110,5,2020-04-08,8,0.7175,100,0.704285714285714,7.71428571428571,100
"63","AC",2020-04-17,10,270,0.49,0.89,0.58,0.32,0.73,1.16,12,"Norte",135,5,2020-04-10,7,0.71,100,0.699642857142857,7.42857142857143,100
"64","AC",2020-04-18,10,284,0.44,0.91,0.56,0.31,0.81,1.1,12,"Norte",142,5,2020-04-10,8,0.7425,100,0.668928571428571,7.42857142857143,100
"65","AC",2020-04-19,12,326,0.34,0.83,0.53,0.36,0.82,1.1,12,"Norte",163,6,2020-04-12,7,0.7025,100,0.678214285714286,7.14285714285714,100
"66","AC",2020-04-20,16,352,0.53,0.87,0.67,0.33,0.67,1.13,12,"Norte",176,8,2020-04-13,7,0.685,100,0.675714285714286,7,100
"67","AC",2020-04-21,16,390,0.35,0.74,0.56,0.34,0.43,1.17,12,"Norte",195,8,2020-04-14,7,0.4875,100,0.673214285714286,7.14285714285714,100
"68","AC",2020-04-22,16,428,0.53,0.86,0.65,0.34,0.71,1.13,12,"Norte",214,8,2020-04-16,6,0.7025,100,0.6725,7.14285714285714,100
"69","AC",2020-04-23,20,454,0.5,0.86,0.61,0.28,0.72,1.14,12,"Norte",227,10,2020-04-16,7,0.7,100,0.6725,7.28571428571429,100
"70","AC",2020-04-24,22,468,0.45,0.86,0.54,0.33,0.73,1.14,12,"Norte",234,11,2020-04-16,8,0.6925,100,0.681071428571429,7.57142857142857,100
"71","AC",2020-04-25,22,516,0.43,0.9,0.55,0.31,0.81,1.1,12,"Norte",258,11,2020-04-17,8,0.7375,100,0.719642857142857,7.85714285714286,100
"72","AC",2020-04-26,22,558,0.32,0.83,0.48,0.31,0.83,1.1,12,"Norte",279,11,2020-04-18,8,0.7025,100,0.727857142857143,8.28571428571429,100
"73","AC",2020-04-27,28,580,0.54,0.92,0.69,0.29,0.76,1.13,12,"Norte",290,14,2020-04-18,9,0.745,100,0.7425,8.57142857142857,100
"74","AC",2020-04-28,32,622,0.59,0.96,0.7,0.42,0.74,1.08,12,"Norte",311,16,2020-04-19,9,0.7575,100,0.718214285714286,8.42857142857143,100
"75","AC",2020-04-29,34,708,0.57,0.97,0.7,0.39,0.75,1.12,12,"Norte",354,17,2020-04-20,9,0.76,100,0.720714285714286,8.14285714285714,100
"76","AC",2020-04-30,38,808,0.64,1.07,0.75,0.37,0.75,1.11,12,"Norte",404,19,2020-04-21,9,0.8025,100,0.721428571428571,7.71428571428571,100
"77","AC",2020-05-01,38,972,0.31,0.88,0.48,0.28,0.45,1.19,12,"Norte",486,19,2020-04-24,7,0.5225,100,0.725,7.14285714285714,100
"78","AC",2020-05-02,43,1106,0.46,0.94,0.5,0.34,0.81,1.1,12,"Norte",553,21.5,2020-04-26,6,0.755,100,0.725357142857143,6.57142857142857,100
"79","AC",2020-05-03,48,1314,0.34,0.83,0.46,0.28,0.83,1.1,12,"Norte",657,24,2020-04-28,5,0.7075,100,0.723214285714286,6,100
"80","AC",2020-05-04,56,1466,0.59,0.97,0.7,0.34,0.76,1.12,12,"Norte",733,28,2020-04-29,5,0.77,100,0.716785714285714,5.57142857142857,100
"81","AC",2020-05-05,58,1634,0.6,1,0.68,0.36,0.72,1.12,12,"Norte",817,29,2020-04-30,5,0.76,100,0.750357142857143,5.42857142857143,100
"82","AC",2020-05-06,66,1886,0.55,0.99,0.6,0.57,0.72,1.13,12,"Norte",943,33,2020-05-01,5,0.745,100,0.757142857142857,5.42857142857143,100
"83","AC",2020-05-07,72,2028,0.57,1.02,0.64,0.37,0.72,1.15,12,"Norte",1014,36,2020-05-01,6,0.7575,100,0.770357142857143,5.57142857142857,100
"84","AC",2020-05-08,76,2354,0.52,1.03,0.56,0.37,0.74,1.15,12,"Norte",1177,38,2020-05-02,6,0.7575,100,0.762142857142857,5.85714285714286,100
"85","AC",2020-05-09,78,2670,0.48,1.07,0.57,0.34,0.83,1.12,12,"Norte",1335,39,2020-05-03,6,0.8025,100,0.754285714285714,6.14285714285714,100
"86","AC",2020-05-10,82,2894,0.37,0.99,0.49,0.29,0.92,1.09,12,"Norte",1447,41,2020-05-04,6,0.8,100,0.745714285714286,6.57142857142857,100
"87","AC",2020-05-11,90,2920,0.5,0.89,0.66,0.34,0.73,1.14,12,"Norte",1460,45,2020-05-04,7,0.7125,100,0.726785714285714,7,100
