data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2018-01-01,Brasil,NA,50471.484689081,50348.257004616346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12892.401638039999,12222.094849310748,NA,NA,NA,NA
2018-01-02,Brasil,NA,60224.449033504,67346.0816543722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16025.923232879,19542.25213998547,NA,NA,NA,NA
2018-01-03,Brasil,NA,63240.421670579,67667.74092622871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17661.900219704,19614.520721609955,NA,NA,NA,NA
2018-01-04,Brasil,NA,63244.27790612,67578.06442309175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18108.817450828,19618.099395166093,NA,NA,NA,NA
2018-01-05,Brasil,NA,63732.133428661,67324.1916585924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18410.244362034002,19614.86659386008,NA,NA,NA,NA
2018-01-06,Brasil,NA,59308.381898619,62117.417070331474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17625.783772995,18027.287912878124,NA,NA,NA,NA
2018-01-07,Brasil,NA,53109.185916387,56904.66895149189,NA,NA,NA,NA,NA,59047.190648993004,62755.203098389255,-0.05908693249837358,NA,NA,15279.690152844,15677.411864366935,16572.10868990343,17759.504782453914,-0.06685975240275903,NA
2018-01-08,Brasil,NA,61542.183673292,65921.48430387316,NA,NA,NA,NA,NA,60628.71907530886,64979.94985542594,-0.06696266755819522,NA,NA,18208.548474042,18893.82949833477,17331.558237903715,18712.60973231449,-0.07380325428504288,NA
2018-01-09,Brasil,NA,63308.401659669,67362.3134045151,NA,NA,NA,NA,NA,61069.28373618957,64982.268676874926,-0.06021619466908298,NA,NA,18866.331731626,19550.369223374724,17737.33088058186,18713.769315655813,-0.05217753936172929,NA
2018-01-10,Brasil,NA,64578.982701204,67683.97267637159,NA,NA,NA,NA,NA,61260.50674056457,64984.58749832391,-0.05730713852504482,NA,NA,19033.241290119,19622.63780499921,17933.236747784,18714.928898997132,-0.04176837408423274,NA
2018-01-11,Brasil,NA,65512.550634924,67628.93151176843,NA,NA,NA,NA,NA,61584.54570182229,64991.85422527772,-0.05242670122389282,NA,NA,19315.785666631,19629.263944119037,18105.660778613,18716.523834561838,-0.03263763406860951,NA
2018-01-12,Brasil,NA,65414.447510129,67340.42340873528,NA,NA,NA,NA,NA,61824.87628488914,64994.173046726704,-0.04876278308147775,NA,NA,19551.687876296,19622.983677249333,18268.724137793288,18717.68341790316,-0.023985835751471844,NA
2018-01-13,Brasil,NA,60389.153499004,62133.64882047436,NA,NA,NA,NA,NA,61979.27222780129,64996.49186817569,-0.04642126911239846,-0.05588338380978081,NA,18281.334662505,18035.404996267378,18362.374264866143,18718.843001244484,-0.01904331033465275,-0.044325100041214004
